prog_id,event_id,prog_name,is_race,prog_date,prog_gender,results,team,race_title,race_venue,race_country
350095,140869,Elite Women,True,1986-06-22,female,True,False,1986 Milton Keynes ETU Triathlon European Championships,Milton Kaynes,Great Britain
350098,140870,Elite Women,True,1987-05-31,female,True,False,1987 Marseille ETU Triathlon European Championships,Marseille,France
350101,140871,Elite Women,True,1988-06-20,female,True,False,1988 Venice ETU Triathlon European Championships,venice,Italy
3669,5060,Elite Women,True,1989-06-11,female,True,False,1989 Cascais ETU Triathlon European Championships,Cascais,Portugal
2803,4905,Elite Women,True,1989-08-06,female,True,False,1989 Avignon ITU Triathlon World Championships,Avignon,France
8983,4905,Junior Women,True,1989-08-06,female,True,False,1989 Avignon ITU Triathlon World Championships,Avignon,France
8985,185203,20-24 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8986,185203,25-29 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8987,185203,30-34 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8988,185203,35-39 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8989,185203,40-44 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8990,185203,45-49 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8991,185203,50-54 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8992,185203,55-59 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
8993,185203,60-64 Female AG,True,1989-08-06,female,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France
406257,149149,Junior Women,True,1989-09-09,female,True,False,1989 Geneva ETU Triathlon Youth and Junior European Championships,Geneva,Switzerland
416528,150851,Elite Women,True,1990-05-20,female,True,False,1990 Banyoles ETU Triathlon European Cup,Banyoles,Spain
416530,150852,Elite Women,True,1990-05-27,female,True,False,1990 Geel ETU Triathlon European Cup,Geel,Belgium
416532,150853,Elite Women,True,1990-06-03,female,True,False,1990 Arcachon ETU Triathlon European Cup,Arcachon,France
406603,149226,Junior Women,True,1990-07-01,female,True,False,1990 Montlucon ETU Triathlon Youth and Junior European Championships,Montlucon,France
416534,150854,Elite Women,True,1990-07-01,female,True,False,1990 Neunen ETU Triathlon European Cup,Neunen,Netherlands
589141,175738,Elite Women,True,1990-07-22,female,True,False,1990 ITA Triathlon National Championships,Tolentino,Italy
416536,150855,Elite Women,True,1990-07-29,female,True,False,1990 Darmstad ETU Triathlon European Cup,Darmstad,Germany
3527,5059,Elite Women,True,1990-08-26,female,True,False,1990 Linz ETU Triathlon European Championships,Linz,Austria
2801,4904,Elite Women,True,1990-09-15,female,True,False,1990 Orlando ITU Triathlon World Championships,Orlando,United States
343108,4904,Junior Women,True,1990-09-15,female,True,False,1990 Orlando ITU Triathlon World Championships,Orlando,United States
343193,185202,20-24 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
343110,185202,25-29 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
343665,185202,30-34 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
345044,185202,35-39 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
345905,185202,40-44 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
345907,185202,45-49 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
346234,185202,50-54 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
346236,185202,55-59 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
346703,185202,60-64 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
346705,185202,65-69 Female AG,True,1990-09-15,female,True,False,1990 Orlando ITU Age-Group Triathlon World Championships,Orlando,United States
4317,5123,Elite Women,True,1991-05-05,female,True,False,1991 St. Croix ITU Triathlon World Cup,St. Croix,United States
4319,5124,Elite Women,True,1991-05-19,female,True,False,1991 San Andres ITU Triathlon World Cup,San Andres,Colombia
404173,148837,Elite Women,True,1991-06-16,female,True,False,1991 Vilamoura ETU Triathlon European Cup,Vilamoura,Portugal
4321,5125,Elite Women,True,1991-07-13,female,True,False,1991 Portaferry ITU Triathlon World Cup,Portaferry,Ireland
403703,148764,Elite Women,True,1991-07-21,female,True,False,1991 Barcelona ETU Triathlon European Cup,Barcelona,Spain
4338,5122,Elite Women,True,1991-07-27,female,True,False,1991 Vancouver ITU Triathlon World Cup,Vancouver,Canada
403695,148762,Junior Women,True,1991-07-28,female,True,False,1991 Losheim ETU Triathlon Youth and Junior European Championships,Losheim,Germany
4340,5120,Elite Women,True,1991-08-04,female,True,False,1991 Toronto ITU Triathlon World Cup,Toronto,Canada
4342,5132,Elite Women,True,1991-08-15,female,True,False,1991 Embrun ITU Triathlon World Cup,Embrun,France
4344,5133,Elite Women,True,1991-09-01,female,True,False,1991 Beijing ITU Triathlon World Cup,Beijing,China
3525,5031,Elite Women,True,1991-09-08,female,True,False,1991 Geneva ETU Triathlon European Championships,Genf,Switzerland
4348,5135,Elite Women,True,1991-09-08,female,True,False,1991 Texas Hill ITU Triathlon World Cup,Texas Hill,United States
